NCT Number,Study Title,Study Status,Brief Summary,Conditions,Interventions,Sponsor,Phases,Start Date,Completion Date,Locations
NCT00998400,Treatment of Depression in Acute Coronary Syndrome (ACS) Patients,COMPLETED,"Emotional states of depression in association with ischemic heart diseases, such as myocardial infarction or unstable angina, are risk factors for subsequent cardiac events and mortality. However, the only psychological intervention trial attempting to reduce cardiac risk in depressed ACS patients showed that changes in depression did not translate into improved survival. Such intervention did not address issues such as lifestyle modification and improvement in psychological well-being, which were found to affect individual vulnerability to medical disease. Our research group has developed a well-being enhancing psychotherapeutic strategy, well-being therapy (WBT), which has been validated in a number of clinical trials. The aim of this project is to evaluate the efficacy of cognitive behavioral treatment (CBT) together with lifestyle modification and WBT in reducing cardiac risk in depressed and/or demoralized ACS patients compared to a standard clinical procedure of patients' management, the clinical management (CM). The same protocol will be carried out in two centres (Bologna and Torino). 100 patients after a first episode of myocardial infarction or unstable angina, meeting DSM-IV criteria for depressive disorders and DCPR criteria for demoralization will be randomized to one of two treatment groups: 1) CBT supplemented by lifestyle modification and WBT; 2) CM. In both groups, treatment will consist of twelve, 45-minute sessions once a week. A two-year follow-up will be performed. It is expected that psychological treatment may significantly decrease cardiac morbidity and mortality at follow-up compared to clinical management. The findings may entail considerable preventive implications and possible large reductions in health costs.",Depression,BEHAVIORAL: CBT in combination with WBT and life style modification,University of Bologna,NA,2010-09,2019-04,"Maggiore Hospital, Bologna, 40100, Italy|Molinette Hospital, Torino, 10100, Italy"
NCT03277846,The Safety and Efficacy of Nexalin Trans-cranial Electrical Stimulation Stimulation for the Treatment of Depression,COMPLETED,"The purpose of this research study is to determine whether Nexalin Trans-Cranial Electrical Stimulation (TES) is an effective treatment for depression among patients who are candidates for ECT. A secondary aim to assess whether Nexalin can be used as an alternative to ECT. Although Nexalin has been approved for use in the US, using Nexalin to treat depression in this way is investigational and experimental. If Nexalin is found to be an alternative to ECT, it could offer a safer treatment for depression with less side-effects and a lower cost.

!!! NOTE !!! Post Script / Post Study. The ECT arm (profiling subjects as ECT accepters vs. rejecters) was dropped owing to site objections by referring clinicians. Accordingly, the study was framed as a simple comparison between TES and SHAM TES.",Depression,DEVICE: Nexalin Based Trans-Cranial Electrical Stimulation,University of Pennsylvania,NA,2017-09-01,2018-05-17,"Carrier Clinic, Belle Mead, New Jersey, 08502, United States"
NCT01401296,Evaluation of the Effectiveness of a Web-based Treatment Program for Depression for the Reduction of Depressive Symptoms,COMPLETED,"200 persons with depression are recruited via internet depression forums devoted to depression and are randomly assigned either to the online program deprexis or to a wait-list control condition. All participants receive free-of-charge online access to deprexis either immediately or with an eight week delay.

Prior to intervention and eight weeks later, both groups are assessed via an anonymous online survey which was implemented using the software package OPST®. The survey consists of different questionnaires. The Beck Depression Inventory (BDI) represents the primary outcome. It is assumed that the severity of depressive symptoms will improve to a significantly greater extent in the deprexis than in the wait-list control condition in the course of eight weeks.",Depression,BEHAVIORAL: Deprexis|BEHAVIORAL: Wait-list,Universitätsklinikum Hamburg-Eppendorf,NA,2011-05,2012-09,"University Medical Center Hamburg-Eppendorf, Hamburg, 20246, Germany"
NCT00042237,Treatment of Depressed Women Who Have Been Sexually Abused,COMPLETED,The purpose of this study is to compare Schema-Focused Therapy plus antidepressant medication and antidepressant medication alone for the treatment of major depression in women with a history of childhood sexual abuse.,Depression,BEHAVIORAL: Schema Therapy,Butler Hospital,PHASE1,2001-09,,"Butler Hospital, Providence, Rhode Island, 02906, United States"
NCT00570427,Improving Depression Treatment for Older Minority Adults,COMPLETED,"The purpose of this study is to improve access to quality depression care for older, low-income, minority adults in public sector health care. The study will examine current depression care in a public sector geriatric clinic that serves mostly Spanish-speaking Latinos and pilot study assessments and treatments in order to lay the groundwork for a large study of quality improvement for depressed older minorities",Depression,BEHAVIORAL: Problem Solving Therapy (PST)|BEHAVIORAL: Medication Management,National Institute on Aging (NIA),NA,2007-02,2008-06,"LAC+USC Medical Center Geriatric Clinic, Los Angeles, California, 90033, United States"
NCT03645447,The Taste-Mood Diagnostic Study,RECRUITING,The study looks at whether a taste test device can be used as a diagnostic aid for depression. Taste tests will be carried out before and after first use of an antidepressant (prescribed by the patient's GP) and then again six to eight weeks later a further taste test will be conducted. The results of these tests will be assessed to see if they correlate with the outcome of validated mood questionnaires carried out at the first and second visits.,Depression,DIAGNOSTIC_TEST: Taste test,Ranvier Health Ltd,NA,2022-06-06,2025-02-28,"Jhoots Pharmacy, Bristol, Avon, BS9 3AG, United Kingdom|Honiton Surgery, Honiton, Devon, EX14 2LY, United Kingdom|Humber Teaching NHS Foundation Trust, Hull, Yorkshire, United Kingdom|West Walk Surgery, Yate, Bristol, BS37 4AX, United Kingdom"
NCT01069952,Electrical Stimulation of the Internal Capsule for Intractable Depression,COMPLETED,This study will evaluate the safety and efficacy of deep brain stimulation in treating people with several and otherwise treatment-resistant depression.,Depression,DEVICE: Deep Brain Stimulation System,Butler Hospital,PHASE2,2002-12,,"Butler Hospital, Providence, Rhode Island, 02906, United States"
NCT00000377,Preventing the Return of Depression in Elderly Patients,COMPLETED,"The purpose of this study is to compare the effectiveness of two doses of nortriptyline in elderly patients whose depression returned after stopping treatment. Nortriptyline is an antidepressant.

This study enrolls patients who were treated for depression in an earlier research study and whose depression has returned since stopping treatment. Patients are treated for 4 months to bring the depression under control. Patients are then assigned randomly (like tossing a coin) to receive either the full dose of nortriptyline or half the usual dose of nortriptyline. Patients continue taking nortriptyline for 2 years or until a major depression returns. Throughout the study, patients are monitored for symptoms of depression and other side effects.",Depression,DRUG: Nortriptyline,University of Pittsburgh,NA,1989-03,2000-04,
NCT00183417,Depression Prevention Program for Adolescents,COMPLETED,This study will compare the effectiveness of two programs designed to prevent depression in adolescents.,Depression,BEHAVIORAL: Cognitive behavior therapy (CBT)|BEHAVIORAL: Supportive/expressive (S/E) therapy|BEHAVIORAL: Bibliotherapy,University of Texas at Austin,NA,2004-09,2009-05,"University of Texas at Austin, Austin, Texas, 78712, United States"
NCT02276807,Improving Mood in Veterans in Primary Care,COMPLETED,"The purpose of the Improving Mood in Veterans in Primary Care (IIR 14-047) is to evaluate a brief educational individual workshop that is meant to help Veterans better understand feelings of sadness and ways to improve their mood. This study is intended to evaluate and establish the workshop's effectiveness for use with Veterans in primary care settings.

The study involves up to 6 in-person meetings and 6 telephone interviews across a 6-month period of time. Approximately 144 Veterans will participate in the study. Using a procedure like the flip of a coin, the participants will have a one in two chance of receiving the brief educational workshop or treatment as usual condition.",Depression,BEHAVIORAL: Brief Behavioral Activation|OTHER: Usual Care,VA Office of Research and Development,NA,2015-03-23,2018-07-31,"VA Western New York Healthcare System, Buffalo, NY, Buffalo, New York, 14215, United States|Canandaigua VA Medical Center, Canandaigua, NY, Canandaigua, New York, 14424, United States|Syracuse VA Medical Center, Syracuse, NY, Syracuse, New York, 13210, United States"
NCT07371962,Sound Bite-- a Therapeutic Song-writing Program,RECRUITING,"The research aims to investigate the effectiveness of the therapeutic song-writing program on young people with depressive symptoms.

This study adopts a multicentre randomized control trial two arms research design. A randomised controlled trial will compare a typical 7-session therapeutic song-writing program with a waitlist-control group to determine whether the 7-session therapeutic song-writing program can produce better outcomes for young people with depressive symptoms, including improvement in depressive symptoms, self-stigma, self-esteem, sense of hope and social support at post-intervention. The 7-session therapeutic song-writing program will be delivered by trained and experienced social workers and helping professionals who are familiar with music therapy. A research staff, who does not involve in the group allocation and delivery of group intervention, conduct the intervention outcomes assessment of the participants before and after the intervention. Standardized assessment tools are used to assess the intervention outcomes. The ethical considerations of this study were reviewed and approved by the Human and Artefacts Ethics Sub-Committee of the City University of Hong Kong in 2025.",Depression,BEHAVIORAL: therapeutic song-writing program|BEHAVIORAL: Waitlist control group,City University of Hong Kong,NA,2026-07-17,2027-10-31,"City University of Hong Kong, Kowloon Tong, Hong Kong, Hong Kong"
NCT02538835,"The Effect of Group Treatment for Depression: A Study of Metacognitive Therapy, Mindfulness and Support Groups",UNKNOWN,"This study evaluates the effect of metacognitive group therapy on depression compared to mindfulness groups and supportive groups. The participants, all with a history of depression and with current symptoms of depression, will be randomized to one of the three group interventions.",Depression,"BEHAVIORAL: Metacognitive therapy|BEHAVIORAL: Mindfulness based cognitive therapy, group|BEHAVIORAL: Support groups",University of Southern Denmark,NA,2018-08,,"University of Southern Denmark, Odense, Southern Denmark, 5230, Denmark"
NCT00386893,Somatosensory Processing in Depression,WITHDRAWN,Aim of this study is to investigate neuronal differences (EEG/evoked potentials; functional MRI) between patients with major depression and healthy controls concerning brain activity after acute pain as well as changes of pain related brain activity during treatment with escitalopram.,Depression,PROCEDURE: simultaneous EEG/fMRI|DEVICE: fMRI,Ludwig-Maximilians - University of Munich,PHASE4,2006-10,2011-12,"Department of Psychiatry and Clin. Radiology, Ludwig-Maximilian-University, Munich, Bavaria, D - 80336, Germany"
NCT00145912,Primary Care Based Depression Prevention for Adolescents/Young Adults/Young Adults and Young Adults,COMPLETED,The purpose of this research is to evaluate the feasibility of an interview between an adolescent / young adult and a PCP (Primary Care Physician).,Depression,BEHAVIORAL: MI + CATCH-IT Internet Site|BEHAVIORAL: BA (brief advice) + CATCH-IT Internet site,University of Chicago,NA,2007-02,2011-10,"The University of Chicago, Chicago, Illinois, 60637, United States"
NCT05263440,Immediate Effects of DLPFC tDCS on Attention Bias,WITHDRAWN,"This research is being done to test if the investigators can modify or reduce negative attention bias in depression following a single session of transcranial direct current stimulation (tDCS) over the left anodal dorsolateral prefrontal cortex (DLPFC) in patients with mild to severe depression. The study will consist of a single-session tDCS session administered onsite at the Johns Hopkins University (JHU). After the consent process, participants will complete the study (approximately one hour in duration) with the guidance of a research associate.",Depression,DEVICE: Transcranial direct current stimulation (tDCS),Johns Hopkins University,NA,2023-03-01,2023-06-30,
NCT00255905,Cognitive Behavioral Therapy for the Treatment of Depression-Related Insomnia,COMPLETED,This study will determine the effectiveness of cognitive behavioral therapy (CBT) in treating insomnia symptoms that are secondary to depression. This study will also determine how long the benefits of CBT will last and how the recurrence of insomnia is associated with the onset of new depressive episodes.,Depression,BEHAVIORAL: Cognitive behavioral therapy (CBT) for insomnia|BEHAVIORAL: Clinician monitoring,University of Rochester,NA,2004-07,2007-07,"University of Rochester Sleep and Neurophysiology Research Lab, Rochester, New York, 14642, United States"
NCT00423969,Galantamine Augmentation of Escitalopram for Treatment of Depression,TERMINATED,"The purpose of this study is to investigate whether the addition of galantamine to a commonly used antidepressant, escitalopram (Lexapro), will be useful in the treatment of memory and other thinking problems that are frequently seen in depression. At present, galantamine is approved for use in the treatment of Alzheimer's disease or dementia, but not for use for the treatment of depression in younger patients.

Possible genetic effects of depressed individuals will also be studied. This study is involved in collecting blood from patients with depression. DNA, the genetic material in our cells, will be obtained from these blood samples. The DNA will be studied to determine the contribution of different genes to the development of depression. These blood samples are extremely useful to researchers who are trying to determine the genetic risk factors that may lead to depression.",Depression,DRUG: Galantamine|DRUG: Escitalopram,Indiana University,PHASE4,2003-11,2005-09,"IU Adult Psychiatric Clinic, Indianapolis, Indiana, 46202, United States"
NCT06456931,A Pilot Study Comparing the Efficacy of Traditional Buddhist Mindfulness Training Versus Secular Mindfulness-based Cognitive Therapy for Patients Having Residual Depressive Symptoms,RECRUITING,"This interventional study is conducted with the goal of comparing the efficacy of traditional Buddhist mindfulness training versus secular mindfulness based cognitive therapy among patients with depressive disorders. We are also interested in studying how these interventions compare in terms of preventing further relapses of depression. Additionally, this study aims to identify factors that influence the efficacy of this intervention, such as self-report mindfulness, self-compassion, and religiosity.",Depression Moderate|Depression Mild,BEHAVIORAL: Traditional Buddhist mindfulness|BEHAVIORAL: secular mindfulness based cognitive therapy,Anuradha Baminiwatta,NA,2024-04-01,2025-10-31,"Colombo North Teaching Hospital, Ragama, Gampaha, 11010, Sri Lanka"
NCT04977232,Adjunctive Game Intervention for Anhedonia in MDD Patients,COMPLETED,"This is a pilot study using game intervention as an adjuvant treatment, to evaluate the effect of the video game on anhedonia and associated functional change of brain in patients with depression. Participants will be randomized to Experimental group receiving a 8-week treatment of antidepressant drugs and game intervention, or Control group receiving a 8-week treatment of antidepressant drugs. Magnetic resonance imaging scanning and assessment of clinical characteristics and cognitive function were conducted before and after the intervention.",Depression,DRUG: Escitalopram|BEHAVIORAL: Game intervention,Central South University,NA,2021-09-09,2022-12-31,"The Second Xiangya Hospital of Central South University, Changsha, China"
NCT03480841,Using the LENA System in Early Intervention - b,COMPLETED,"This project will determine whether an intervention to enhance communication between infants and toddlers with developmental disabilities and their depressed mothers can be integrated into federally-funded Early Intervention (EI) services. Participants will be mothers with depressive symptoms whose children are receiving EI services, along with their EI service providers.

The investigators will conduct a small feasibility trial using the Language ENhancement Assessment/intervention system (LENA), a technology-supported language monitoring system, with 10 mothers and one of their child's EI service providers. The LENA uses an infant or toddler garment with an integrated audiotape system that records adult speech centered on the child, child vocalizations, and reciprocal parent-child turn-taking conversations. The LENA software produces visual feedback that a mother can use to focus her language interactions with her child. They study will follow participants in the LENA with feedback intervention over 6 weeks: 5 weeks of LENA data collection (with mothers running the system 1 day/week for 16 consecutive hours). The investigators will analyze data from measures on LENA communication data (adult word count, child vocalizations and conversational turn-taking), and measures of child language, maternal depressive symptoms, and child disability profiles.",Depression,BEHAVIORAL: Language ENhancement Assessment/intervention system,"University of North Carolina, Chapel Hill",NA,2018-04-02,2018-11-04,"Durham Children's Developmental Services Agency, Durham, North Carolina, 27701, United States"
NCT01309581,Use of Ketamine to Enhance Electroconvulsive Therapy (ECT) in Depression,TERMINATED,The primary objectives of this study are to investigate the potential for ketamine anesthesia to increase the antidepressant efficacy of Electroconvulsive therapy (ECT) and to decrease acute ECT-induced adverse cognitive effects.,Major Depression|Bipolar Depression,DRUG: Ketamine|DRUG: Methohexital,James Murrough,NA,2010-04,2010-10,"Icahn School of Medicine at Mount Sinai, New York, New York, 10029, United States"
NCT00103415,Trial Investigating the Effect of Different Exercise Forms on Depression,UNKNOWN,"During one year, 5-8% of the population will suffer from major depression. Some of the key symptoms are loss of interest in daily activities, loss of energy and sleeping disturbances. The financial consequences of this disease is estimated to be more than 30 million pounds per year in Great Britain and USA alone. There is an increasing interest in the effect exercise has on depression. Smaller studies indicate that exercise is a good treatment for depression. This study will be a large scale randomized trial and will hopefully bring important knowledge on the effects exercise has on depression.

We will compare the effect endurance training, weight-lifting exercise and a control group has on depressive symptoms after 4 months training, twice a week.",Depression,BEHAVIORAL: Endurance training|BEHAVIORAL: Weight-lifting training,Demostudiet,NA,2005-02,2007-02,"Psychiatric department, Bispebjerg Hospital, Copenhagen, 2400, Denmark"
NCT07266545,RNA Editing as a Biomarker of Antidepressant Response in Unipolar and Bipolar Depression (EDIT-ANDRE),RECRUITING,The purpose of this research is to understand how changes in RNA editing relate to treatment response in unipolar and bipolar depression.,Unipolar Depression|Bipolar Depression,DRUG: Vortioxetine|DRUG: Bupropion extended release|DRUG: Cariprazine (Augmentation Phase),Mayo Clinic,PHASE4,2026-02-17,2030-12-31,"Mayo Clinic in Rochester, Rochester, Minnesota, 55905, United States"
NCT02783430,Evaluation of the Initial Prescription of Ketamine and Milnacipran in Depression in Patients With a Progressive Disease,COMPLETED,"KetaPal is a placebo-controlled randomized trial designed to demonstrate the antidepressant action of ketamine in palliative care situations. Half of participants will receive Ketamine and Milnacipran in combination, while the other half will receive a Placebo and Milnacipran in combination.",Depression,DRUG: Ketamine|DRUG: Milnacipran|DRUG: Placebo,"University Hospital, Lille",PHASE2|PHASE3,2016-09-08,2024-03-08,"Chu Amiens Picardie, Amiens, France|Ch Calais, Calais, France|Maison Medicale Jean Xxiii - Lille, Lille, 59037, France|University Hospital,, Lille, France|Groupt Hopitaux Instit Catho de Lille - Lomme, Lomme, France|C.H de Roubaix, Roubaix, France|Ch Ghpso Senlis, Senlis, France|Ch Tourcoing, Tourcoing, France|Centre Hospitalier de Valenciennes, Valenciennes, France"
NCT00118469,Parent Psychoeducation and Cognitive Behavior Therapy for Latino Adolescents With Depression,UNKNOWN,This study will determine the effectiveness of adding a parent-involved intervention to cognitive behavior therapy in reducing depressive symptoms among Latino adolescents with depression.,Depression,BEHAVIORAL: Psychoeducation|BEHAVIORAL: Cognitive behavior therapy,National Institute of Mental Health (NIMH),PHASE2,2004-07,2008-12,"University Center for Psychological Services and Research, University of Puerto Rico, San Juan, 00926, Puerto Rico"
NCT02817672,Evaluating the Feasibility of Disseminating a Novel Mobile Platform to Treat Depression,WITHDRAWN,"The goal of this project is to conduct a pilot study to test the utility of a Natural Language Processing (NLP) clinical messaging tool to improve the reach and the quality (fidelity and competency) of coaches providing behavioral activation (BA) strategies through a mobile mental health app called Personalized Real-time Intervention for Motivational Enhancement (PRIME). This study will improve the reach of clinicians by using a NLP-powered messaging tool, which will ensure fidelity to the BA model and clinicians will have access to real-time clinical information about their patients to guide more targeted treatment (competence). If successful, PRIME could operate as a cost effective tool for clinicians to extend their reach and an accessible treatment for the population of those struggling with depression.",Depression,BEHAVIORAL: PRIME 1.0|BEHAVIORAL: PRIME 2.0,"University of California, San Francisco",NA,2016-05-25,2018-04-10,"University of California San Francisco, San Francisco, California, 94143, United States"
NCT01464463,The Impact of Psychological Interventions on Psychometric and Immunological Measures in Patients With Major Depression,COMPLETED,"The objective of this study is to compare the impact of i) Cognitive Behavioral Therapy (CBT) combined with exercise, ii)CBT combined with euthymic therapy, and iii) 'Cognitive Behavioral Analysis System of Psychotherapy' (CBASP) on psychometric and immunological measures in patients with major depression.",Depression,BEHAVIORAL: CBT - active|BEHAVIORAL: CBT - euthymic|BEHAVIORAL: CBASP,Philipps University Marburg,PHASE3,2011-08,,"Department of Clinical Psychology and Psychotherapy, Philipps University Marburg, Marburg, 35032, Germany"
NCT06143800,Reconsolidation-Based Intervention for Traumatic Memories,UNKNOWN,"The goal of this clinical trial is to test the effect and underlying mechanism of reconsolidation-based cognitive reappraisal for traumatic memories in patients with major depression disorder. The main questions it aims to answer are:

* Is cognitive reappraisal based on memory reconsolidation effective for laboratory-created traumatic memories? Which of the two classical cognitive reassessment schemes is more effective?
* What is the neural mechanism by which the novel cognitive reappraisal based on memory reconsolidation alters traumatic memories?
* Can repeated use of the novel cognitive reappraisal based on memory reconsolidation alter the actual childhood traumatic memories of patients with major depression disorder? Can it reduce depressive symptoms? Are the effects long-lasting? Participants will be grouped to receive the intervention (retrieval + cognitive reappraisal, non-retrieval + cognitive reappraisal). The researchers will compare the differences in long-term memory tests and the improvement in depressive symptoms between the two groups to see the effects of the memory-based reconsolidation intervention.",Depression,BEHAVIORAL: reactivation|BEHAVIORAL: cognitive reappraisal intervention,Shenzhen Kangning Hospital,NA,2023-12,2025-09,
NCT00375843,Brain Activity Changes and Treatment Response in Depressed People Who Are Receiving Antidepressant Medication,COMPLETED,This study will examine how brain activity is affected by antidepressant treatment and how changes in brain activity relate to treatment response in people with depression.,Depression,DRUG: Escitalopram|DRUG: Sertraline,National Institute of Mental Health (NIMH),PHASE4,2005-01,2008-03,"UCLA Semel Institute, Los Angeles, California, 90095, United States|Harbor-UCLA Medical Center, Torrance, California, 90502, United States|Harvard/MGH, Boston, Massachusetts, 02114, United States"
NCT00742365,Predicting Effectiveness of Light Treatment for Winter Seasonal Affective Disorder,COMPLETED,"This study will evaluate a possible tool for predicting future effectiveness of bright light in treating seasonal affective disorder, winter subtype, and will examine secondary effects of bright light on cardiovascular risk factors.",Depression,DEVICE: Bright light|DEVICE: Red light placebo,"University of Maryland, Baltimore",,2007-11,2010-08,
NCT00356304,Motivational Interviewing to Improve Medication Adherence Among Hispanic Adults With Depression,COMPLETED,This study will determine the effectiveness of motivational interviewing in improving antidepressant medication adherence among Hispanics.,Depression,BEHAVIORAL: Motivational interviewing|BEHAVIORAL: Treatment as usual,University of Medicine and Dentistry of New Jersey,PHASE1,2006-04,2010-07,"University Behavioral Healthcare, New Brunswick, New Jersey, 08901, United States"
NCT00867919,Designing and Testing a Family Therapy for Adolescent Depression,COMPLETED,This study will design and test a cognitive behavioral therapy for depressed adolescents that uses family interactions to help with treatment.,Depression,BEHAVIORAL: Behavioral Family Treatment|OTHER: Community-based treatment as usual,Oregon Research Institute,PHASE1,2009-04,2012-12,"Options Counseling, Eugene, Oregon, 97403, United States|Oregon Research Institute, Eugene, Oregon, 97403, United States"
NCT01158547,Efficacy Study of CLR3001 in Depression,COMPLETED,The purpose of this study is to assess the ability of CLR3001 to reverse depressive symptoms relatively quickly in adult patients with major depressive disorder (MDD).,Depression,,Clera Inc.,,2010-04,2013-07,"Toronto General Hospital, Toronto, Ontario, M5G 2C4, Canada"
NCT03592446,Neural Alteration Response to Transcutaneous Auricular Vagus Nerve Stimulation (taVNS) in Depressed Patients,UNKNOWN,"Electrical vagus nerve stimulation (VNS) was approved by FDA for treatment of chronic recurrent depression in 2005. Recently, non-invasive, transcutaneous auricular vagus nerve stimulation （taVNS） has already been used for depression treatment. However, the neural mechanism remains unclear, and the relationship between stimulation parameters and neural response were also unknown. The present study aims to investigate the specific brain activation in depression patients after taVNS，compared with healthy controls.",Depression,DEVICE: Transcutaneous electrical vagus nerve stimulation|DEVICE: Sham vagus nerve stimulation,Xidian University,NA,2018-09-01,2020-07-30,
NCT00904891,Testing the Effectiveness of Adolescent Depression Prevention Programs (The OregonBlues Study),COMPLETED,This study will test the effectiveness of two programs for preventing depression in adolescents.,Depression,BEHAVIORAL: Cognitive-behavioral group|BEHAVIORAL: Cognitive-behavioral bibliotherapy,Oregon Research Institute,PHASE2|PHASE3,2009-01,2013-11,"Oregon Research Institute, Eugene, Oregon, 97403, United States"
NCT01913262,IFH Depression Registry 2013,UNKNOWN,This is an observational registry intended to track depression scores of patients over time in treatment.,Depression,BEHAVIORAL: Standard Behavioral treatment,The Institute for Family Health,,2013-03,,"The Institute for Family Health, New York, New York, 10003, United States"
NCT01520649,"Multiple-Dose Pharmacokinetics (PK), and Pharmacodynamic (PD) Effect of NSI-189 Phosphate in Depression Patient Subjects",COMPLETED,"This is a Randomized, Double-Blind, Placebo-Controlled, Multiple-Dose Escalation in depressed human subjects study.",Depression,DRUG: NSI-189 Phosphate|DRUG: microcrystalline cellulose capsules,Neuralstem Inc.,PHASE1,2012-05,2014-02,"California Clinical Trials, Glendale, California, United States"
NCT00056485,Treatment of Depression in Nursing Homes,COMPLETED,This study will implement a treatment for depression in a nursing home setting.,Depression,BEHAVIORAL: Pleasant Events-Based Behavioral Intervention,University of Louisville,NA,2002-04,2006-08,"University of Louisville, Louisville, Kentucky, 40292, United States"
NCT01301859,Personalized Antidepressant Adherence Strategies For Depressed Elders,COMPLETED,The study is a randomized controlled trial to test the usefulness of a brief intervention to improve adherence to antidepressant medication prescribed to older adults in a primary care setting. Study will be conducted at Weill Cornell and University of Michigan.,Depression,BEHAVIORAL: TIP,Weill Medical College of Cornell University,NA,2011-01,2016-06,"University of Michigan, Ann Arbor, Michigan, 48109, United States|Weil Cornell Medical College, New York, New York, 10065, United States"
NCT00186654,Acupuncture and Massage for Depression During Pregnancy,COMPLETED,This study evaluates the efficacy of acupuncture and massage for the treatment of depression during pregnancy. The study also examines differential effects of study treatments on delivery outcome and post partum depression.,Depression,PROCEDURE: Acupuncture|PROCEDURE: Perinatal massage,Stanford University,PHASE2,,,"Stanford University School of Medicine, Stanford, California, 94305, United States"
NCT00169286,Organized Self-management Support for Chronic Depression,COMPLETED,"This study aims to adapt and pilot test two core elements of an organized care program (systematic telephone outreach and monitoring to improve quality and continuity of pharmacotherapy, and structured psychoeducational group programs focused on patient activation and self-management) in a population-based sample of patients with chronic or recurrent depression.",Depression,PROCEDURE: Telephone care management|PROCEDURE: peer-led chronic disease self-management workshop|PROCEDURE: professionally-led cognitive behavioral psychotherapy group,Kaiser Permanente,NA,2003-07,2005-06,"Group Health Research Institute, Seattle, Washington, 98101, United States"
NCT01230047,Mindfulness and Lifestyle Interventions for Depression and Anxiety: A Pilot Study,UNKNOWN,This is a quasi-experimental evaluation of psychoeducational course focusing on mindfulness and lifestyle changes for depression and anxiety; clients in active treatment group are compared to those in a treatment-as-usual wait-list control group. The primary hypothesis is that the psychoeducational course will result in lower levels of depression and anxiety as compared to the wait-listed treatment-as-usual comparison group.,Depression|Anxiety|Major Depression,BEHAVIORAL: Psychoeducational course,Arizona State University,NA,2010-10,2011-10,"Utah Youth Village, Salt Lake City, Utah, 84121, United States"
NCT02886858,tDCS in the Prevention of Relapse After Electroconvulsive Therapy,TERMINATED,"While electroconvulsive therapy (ECT) in major depression is effective, high relapse rates and cognitive side effects limit its long-term use. There is no consensus about optimal continuation pharmacological treatments after a ECT course.

Adjunction of tDCS to pharmacological continuation treatment after ECT may decrease relapse rates.",Depression,DEVICE: Device : Transcranial direct current stimulation|DEVICE: Device : sham Transcranial direct current stimulation,Hôpital le Vinatier,NA,2017-02-13,2019-04-19,"Centre Hospitalier Le Vinatier, Bron, Auvergne-Rhône-Alpes, 69678, France"
NCT05346055,The Feasibility of Engage Therapy With Video Support for Homebound Older Adults,COMPLETED,"The primary aim in this pilot project is to test the feasibility, acceptability and impact (decreased depressive symptoms) of a brief behavioral treatment for depression (Engage) combined with video social support (PRISM 2.0) among socially isolated/lonely case management clients who endorse depressive symptoms. Eligible participants will be offered the combination of Engage and Prism 2.0, called Engage-Prism. The investigators hypothesize that the intervention (Engage Therapy With Video Support) will be accepted by participants, improve depressive symptom, and be feasible to complete.",Depression,BEHAVIORAL: Engage Prism (2.0),Weill Medical College of Cornell University,NA,2022-05-12,2022-09-30,"Weill Cornell Medicine, New York, New York, 10065, United States"
NCT02762409,Improve the Quality of Life After a Hospitalization in Critical Care,COMPLETED,"Demonstrate that the IPREA3 program (Study: Impact of Multicomponent Intervention to Reduce Perceived Discomforts of the patients in intensive care) reducing discomforts perceived by the patients of intensive care, implemented at the level of the whole intensive care unit, reduce the incidence of the depressive symptoms one year after intensive care exit.",Depression|Depression Symptoms,OTHER: experimental|OTHER: control,Centre Hospitalier of Chartres,,2015-10-01,2016-12-31,"C.H. de Chartres, Chartres, 28018, France|CHU Beaujon APHP, Clichy, 92110, France|CH Douai, Douai, 59507, France|CH La Rochelle, La Rochelle, 17022, France|CH Le Puy en Velay, Le Puy-en-Velay, 43000, France|CH Lens, Lens, 62300, France|CHU Edouard Herriot, Lyon, 69003, France|CHU Saint Louis APHP, Paris, 75010, France|CHU Cochin APHP, Paris, 75014, France|CHU NHC, Strasbourg, 67000, France|CHU Hautepierre, Strasbourg, 67100, France|CH Troyes, Troyes, 10000, France"
NCT06440941,Chatbot-based Mindfulness Programme for Depressive University Students: Pilot Intervention Study,COMPLETED,"The goal of this study is to evaluate the feasibility, acceptability, safety and preliminary efficacy of a chatbot-based mindfulness-based stress reduction (MBSR) intervention for university students with depressive symptoms.

A rule-based MBSR chatbot will be developed and evaluated with a single-group pretest-posttest study for university students aged 18 or above in Hong Kong reporting depressive symptoms, followed by the collection of their subjective feedback. The intervention will last eight weeks. The primary clinical outcome is depression levels, with a range of secondary outcomes including stress, anxiety and mindfulness levels.",Depression,OTHER: chatbot-based mindfulness-based stress reduction,The Hong Kong Polytechnic University,NA,2022-12-01,2023-06-30,"School of Nursing, The Hong Kong Polytechnic Unviersity, Hong Kong, Hong Kong"
NCT00105833,Improving Outcomes of Depression in Primary Care,COMPLETED,"Depression is common in primary care settings, and associated with substantial physical and psychosocial impairment and increased healthcare utilization. Despite efforts to educate primary care providers, depression is often undetected or undertreated in primary care settings. The main objective of this study was to determine the impact of a low-intensity, care management intervention on depression treatment outcomes of patients in a VA primary care setting.",Depression,BEHAVIORAL: Collaborative Care - Depression Decision Support (DDS),US Department of Veterans Affairs,NA,2002-07,2008-12,"VA Portland Health Care System, Portland, OR, Portland, Oregon, 97239, United States"
